Current Distance,,dis_0,dis_0,dis_0,dis_0,dis_1,dis_1,dis_1,dis_1,dis_2,dis_2,dis_2,dis_2,dis_3,dis_3,dis_3,dis_3,dis_4,dis_4,dis_out,dis_out,dis_out,dis_out,dis_out,dis_out,dis_out
Current Colour,,white,yellow,brown,lilas,yellow,blue,brown,lilas,blue,red,brown,lilas,red,black,brown,lilas,black,brown,white,yellow,blue,red,black,brown,lilas
Previous State,Action,,,,,,,,,,,,,,,,,,,,,,,,,
"('dis_2', 'blue')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8693.60457860876,8160.741174408103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8932.921267235419,0.0,0.0,0.0,0.0
"('dis_2', 'red')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8243.172903442528,0.0,0.0,9720.498093060653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_2', 'red')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.741174408103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_2', 'brown')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9097.27554314007,0.0,9293.936731736052,9274.547413082475,0.0,0.0,9491.29634772111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.015798632068,0.0
"('dis_2', 'brown')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8833.592054563065,0.0,9126.678080829131,0.0,0.0,0.0,9707.841494999904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.03598423928986,0.0
"('dis_2', 'brown')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8492.155381350396,0.0,0.0,0.0,0.0
"('dis_2', 'lilas')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9237.03933636655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9378.330720285328,0.0,0.0,0.0,0.0
"('dis_2', 'lilas')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9326.302359966212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'red')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9818.684942485508,9905.999999999902,9805.900499999903,0.0,0.0,9999.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'red')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9708.870599999904,0.0,8616.975117914595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'red')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8730.763134420837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'black')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9899.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'black')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9899.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'black')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.119601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0299,0.0,0.0
"('dis_3', 'brown')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9904.949999999903,275.33840498999996,9805.900499999903,9515.664075059905,0.0,0.0,0.0,0.0,0.0,0.0,288.119601,0.0,0.0
"('dis_3', 'brown')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8818.952661031148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'brown')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9643.683583953129,10004.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'lilas')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9708.870599999904,0.0,9420.507434309306,9710.708472630939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_3', 'lilas')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9895.049999999903,0.0,0.0
"('dis_3', 'lilas')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9613.60138790463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
